P,Q,certified,margin,phase_deg,note
40000000,-30000000,0,-0.0193837689849,134.987748568,
40000000,-15000000,0,-0.0187209931123,132.484273563,
40000000,0,0,-0.0180698580435,130.01367751,
40000000,15000000,0,-0.017429595939,127.600868984,
40000000,30000000,0,-0.0168032363187,125.285761991,
60000000,-30000000,0,-0.0197645546367,135.74531219,
60000000,-15000000,0,-0.0191141976988,133.279422801,
60000000,0,0,-0.0184758820227,130.836165169,
60000000,15000000,0,-0.0178504095679,128.448016954,
60000000,30000000,0,-0.0172373802166,126.144498983,
80000000,-30000000,0,-0.020195864453,136.723840814,
80000000,-15000000,0,-0.0195594130787,134.304725183,
80000000,0,0,-0.0189334687225,131.897867594,
80000000,15000000,0,-0.0183203120647,129.536194099,
80000000,30000000,0,-0.0177223147116,127.251247619,
100000000,-30000000,0,-0.0206754933831,137.891453237,
100000000,-15000000,0,-0.020051349258,135.522983082,
100000000,0,0,-0.0194410108789,133.177461521,
100000000,15000000,0,-0.0188382007402,130.841866926,
100000000,30000000,0,-0.0182613838232,128.606837029,
120000000,-30000000,0,-0.021206954738,139.229424936,
120000000,-15000000,0,-0.0205953886267,136.948436929,
120000000,0,0,-0.0199967972061,134.65705955,
120000000,15000000,0,-0.019413836087,132.387243222,
120000000,30000000,0,-0.0188394374904,130.163843823,
100000000,0,0,-0.0194410108789,133.177461521,opf_setpoint
